Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          367    3    1   1  0   3   0    6    5
1           15  593    1   0  0   3   2    0    6
2            0    0  735   1  0   0   0    0    0
3            0    1   33  72  0   7   1    0    5
4            0    0    3   0  0   5   0    0    3
5           11    3   51   3  0  97   0    4   19
6            0    3    0   0  0   2  92    0    3
7           20    9    4   7  0   4   0  257    6
8            1    4    1   1  0  41   2    1  203
