Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    2   0  0   1   0   0   1
1           12  231    1   0  0   1   0   0   2
2            0    0  262   0  0  31   0   0   0
3            1    1    8  28  0   6   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   19   0  0  29   0   0   0
6           14    4    1   0  0   0  20   0   0
7           17    4    0   0  0   6   0  90   4
8            0   10   11   0  0  18   0   6  55
