Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    3   0  0   0   0   0   1
1           12  231    1   0  0   1   0   0   2
2            0    0  287   0  0   6   0   0   0
3            1    1    8  17  0  16   0   1   2
4            0    0    1   0  0   1   0   0   1
5           25    1   25   0  0  22   0   0   1
6           17    4    0   0  0   0  17   0   1
7           17    3    1   0  0   7   0  91   2
8            0   11   10   1  0  16   0   6  56
