Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          362    7    2   0  0    7   0    5    3
1           15  595    2   0  0    0   0    3    5
2            0    0  736   0  0    0   0    0    0
3            0    1   30  72  0   12   0    0    4
4            0    0    1   0  0    7   0    1    2
5           11    3   56   2  0  110   0    2    4
6            0    3    0   0  0    2  89    0    6
7           15    7    2   2  0    8   0  261   12
8            1    6    2   1  0   49   1    1  193
