Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    3    2   0  0   1   0   0   1
1           11  232    2   0  0   0   0   0   2
2            0    0  276   1  0  16   0   0   0
3            1    1    9  29  0   4   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   19   1  0  26   0   0   2
6           12    4    1   0  0   0  22   0   0
7           15    4    0   2  0   4   0  91   5
8            0   11    6   0  0  19   0   6  58
