Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          144    4    4   0  0   0   0   0   1
1           12  231    1   0  0   1   0   1   1
2            0    0  267   1  0  25   0   0   0
3            1    2    8  27  0   7   0   0   1
4            0    0    1   0  0   1   0   0   1
5           25    1   12   0  0  26   0   0  10
6           11    4    0   0  0   0  23   0   1
7           16    5    2   0  0   4   0  92   2
8            0   12    2   0  0  16   0   4  66
