Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          145    4    2   0  0   1   0   0   1
1           11  232    2   0  0   0   0   0   2
2            0    0  289   0  0   4   0   0   0
3            1    1    9  27  0   6   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   27   0  0  17   0   0   4
6            9    4    0   0  0   0  25   0   1
7           17    4    4   0  0   3   0  88   5
8            0   12    7   0  0  16   0   5  60
