Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    4    2   0  0   1   0   0   0
1           11  232    1   0  0   1   0   0   2
2            0    0  266   0  0  27   0   0   0
3            1    1    6  15  0  21   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   17   0  0  26   0   0   5
6            4    4    0   0  0   0  30   0   1
7           17    3    4   0  0   3   0  92   2
8            0   11    2   0  0  19   0   4  64
