Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    3    1   1  0    3   0    5    6
1           13  595    0   0  0    3   2    0    7
2            0    0  735   0  0    1   0    0    0
3            0    1   34  70  0    8   0    0    6
4            0    0    2   0  0    6   0    0    3
5           11    3   46   1  0  109   0    3   15
6            0    2    0   0  0    2  93    0    3
7           19    9    3   5  0   10   0  256    5
8            1    6    3   0  0   46   1    1  196
