Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          368    2    0   1  0    4   0    5    6
1           14  592    0   0  0    4   2    0    8
2            0    0  730   1  0    5   0    0    0
3            0    1   27  72  0   14   0    0    5
4            0    0    0   0  0    8   0    0    3
5           11    3   17   1  0  128   0    3   25
6            0    2    0   0  0    2  93    0    3
7           20    8    2   5  0   11   0  253    8
8            1    7    1   0  0   43   1    2  199
