Predicted    0    1    2   3  4    5   6    7    8
Actual                                            
0          367    3    0   1  0    4   0    5    6
1           13  595    0   0  0    3   2    0    7
2            0    0  712   0  0   24   0    0    0
3            0    1   24  70  0   19   0    0    5
4            0    0    0   0  0    8   0    0    3
5           12    3   12   0  0  151   0    3    7
6            0    2    0   0  0    2  93    0    3
7           18    8    2   5  0   11   0  257    6
8            1    8    1   0  0   53   1    2  188
