Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          365    5    7   0  0   0   0    3    6
1           41  573    3   0  0   0   0    0    3
2            0    0  719  13  0   4   0    0    0
3            1    1   31  71  0   9   0    1    5
4            0    0    1   0  0   7   0    0    3
5           64    1   51   6  0  49   0    0   17
6           22    8    0   0  0   0  67    0    3
7           44    8    4   1  0  12   0  225   13
8            4   29   12   0  0  36   1    7  165
