Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          363    6    5   0  0   1   0    6    5
1           37  577    2   0  0   1   0    0    3
2            0    0  719   2  0  15   0    0    0
3            1    2   28  66  0  16   0    0    6
4            0    0    1   0  0   7   0    0    3
5           57    1   52   4  0  68   0    0    6
6           15    8    0   0  0   0  74    0    3
7           40    9    4   3  0  12   0  226   13
8            4   26    5   0  0  43   1    6  169
