Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          363    6   10   0  0   0   0    4    3
1           42  572    2   0  0   1   0    0    3
2            0    0  689   0  0  47   0    0    0
3            1    2   27  62  0  20   0    0    7
4            0    0    1   0  0   7   0    0    3
5           64    1   36   3  0  62   0    1   21
6           29    8    1   0  0   0  60    0    2
7           43   10    8   0  0   8   0  228   10
8            4   30    6   0  0  39   1    6  168
