Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          365    5    6   0  0   1   0    4    5
1           36  578    3   0  0   0   0    0    3
2            0    0  690   1  0  45   0    0    0
3            1    1   29  68  0  15   0    1    4
4            0    0    1   0  0   7   0    0    3
5           64    1   47   3  0  68   0    0    5
6           30    8    3   0  0   0  59    0    0
7           41   10    2   3  0   9   0  228   14
8            4   29   16   0  0  44   1    9  151
