Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          365    6    8   0  0   0   0    5    2
1           33  581    2   0  0   1   0    1    2
2            0    0  697   0  0  39   0    0    0
3            1    2   31  47  0  35   0    1    2
4            0    0    1   0  0   7   0    1    2
5           62    1   65   0  0  60   0    0    0
6           37    8    3   0  0   0  52    0    0
7           45    8    8   2  0  10   0  229    5
8            5   29   22   0  0  43   1    7  147
