Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          363    6   10   0  0   1   0    3    3
1           38  577    1   0  0   1   0    0    3
2            0    0  676   5  0  55   0    0    0
3            1    1   23  68  0  19   0    1    6
4            0    0    1   0  0   7   0    0    3
5           64    1   35   7  0  75   0    0    6
6           25    8    0   0  0   0  64    0    3
7           46    6   10   0  0  12   0  226    7
8            4   29   16   0  0  45   1    8  151
