Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          363    6   11   0  0   1   0    3    2
1           34  580    2   0  0   1   0    0    3
2            0    0  656   2  0  78   0    0    0
3            1    2   28  54  0  31   0    1    2
4            0    0    1   0  0   7   0    0    3
5           64    1   43   3  0  77   0    0    0
6           25    7    4   0  0   0  64    0    0
7           46    9    4   0  0  19   0  224    5
8            6   28   26   0  0  43   1    7  143
