Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          364    6   10   0  0   0   0    3    3
1           42  572    2   0  0   1   0    0    3
2            0    0  715  15  0   6   0    0    0
3            1    1   34  69  0  11   0    1    2
4            0    0    3   0  0   5   0    0    3
5           63    1   82   5  0  36   0    0    1
6           20    8    3   0  0   0  69    0    0
7           44   11    7   0  0  16   0  222    7
8            4   25   29   1  0  34   1    7  153
