Predicted    0    1    2   3  4   5   6    7    8
Actual                                           
0          368    4    7   0  0   0   0    4    3
1           44  570    2   0  0   1   0    0    3
2            0    0  719   1  0  16   0    0    0
3            1    1   31  38  0  39   0    1    8
4            0    0    1   0  0   7   0    0    3
5           64    1   68   0  0  49   0    0    6
6           47    8    2   0  0   0  42    0    1
7           50    7    3   0  0  16   0  223    8
8            6   27   15   1  0  36   1    7  161
