Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          145    4    4   0  0   0   0   0   0
1           12  231    1   0  0   1   0   0   2
2            0    0  290   2  0   1   0   0   0
3            1    1   10  29  0   3   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   31   0  0  17   0   0   0
6            8    4    1   0  0   0  26   0   0
7           17    4    4   0  0   6   0  89   1
8            0   10   14   1  0  15   0   5  55
