Predicted    0    1    2   3  4   5   6   7   8
Actual                                         
0          146    4    3   0  0   0   0   0   0
1           11  232    1   0  0   1   0   1   1
2            0    0  283   0  0  10   0   0   0
3            1    1    9  15  0  18   0   1   1
4            0    0    1   0  0   1   0   0   1
5           25    1   21   0  0  22   0   0   5
6            6    4    1   0  0   0  28   0   0
7           17    3    4   0  0   2   0  92   3
8            0   11    4   0  0  17   0   4  64
